mouse,   i7,     16, 2000, 240, 0, 1     | マウスコンピューター LUV MACHINES LM-iH440XN-SH2-KK
mouse,   i7,     16, 2000, 240, 0, 1     | マウスコンピューター LUV MACHINES Slim LM-iHS320X-SH2-KK 
NEC,     Celeron, 4, 1000,   0, 1, 0     | NEC　LAVIE Desk All-in-one DA370/FA 2016年秋冬モデル
NEC,     i3,      4, 1000,   0, 1, 0     | NEC　LAVIE Hybrid Frista HF350/DA 2016年春モデル
Dell,    i7,      8, 2000, 128, 0, 0     | Dell Inspiron デスクトップ プラチナ
mouse,   i5,      8, 2000, 240, 1, 0     | マウスコンピューターLUV MACHINES LM-iH440SN-SH2-P23W 
AUAS,    i5,      8, 1000,   0, 1, 0     | ASUS　Vivo AiO V230ICUK V230ICUK-I5HAB
HP,      i5,      8, 1000, 128, 0, 0     | HP 【Pavilion Wave 600-a151jp
mouse,   AMD,     8, 1000,   0, 0, 0     | マウスコンピューター LUV MACHINES LM-AG350BN1-KK
FUJITSU, i7,      8, 1000,   0, 0, 0     | 富士通 FMV ESPRIMO DHシリーズ WD2/A3 KC_WD2A3_A092
